javadoc,code,method_name,parameters,return_type,return_variable,called_methods,local_variables,thrown_exceptions,class_name
"/**Returns a new copy of this queue. The copy should be unaffected
*  by subsequent changes made to this queue, and vice versa. The
*  processes added to the copy should be clones.
*
* @return a clone of this queue
* @see java.lang.Object#clone()
*/","@Override
public Queue clone(){
assert wellFormed() : ""invariant failed at start of clone()"";

Queue copy = new Queue();

try{ copy = (Queue) super.clone();}
catch(CloneNotSupportedException e){
// should not happen
}

Process source = dummy;
Process copier = source.clone();
copy.dummy = copier;
source = source.next;
while(source != dummy) {
copier.next = source.clone();
copier.next.prev = copier;
copier = copier.next;
source = source.next;
}
copier.next = copy.dummy;
copier.next.prev = copier;

assert wellFormed() : ""invariant failed at end of clone()"";
assert copy.wellFormed() : ""invariant of result failed at end of clone()"";
return copy;
}

public boolean hasNext() {
assert wellFormed() : ""invariant failed at start of hasNext()"";
if(version != myVersion) throw new ConcurrentModificationException(""versions don't match"");
return cursor.next != dummy;
}",clone,,Queue,copy,"['wellFormed', 'Queue', 'hasNext', 'ConcurrentModificationException']","['copy', 'source', 'copier', 'copy']",['ConcurrentModificationException'],Queue
"/**Returns the next process in this queue. This method should
*  *not* call poll, or change the state of the queue in any way.
*
*  @throws ConcurrentModificationException if versions don't match
*  @throws NoSuchElementException if no element is next
*  @return the next process in the queue
*/","public Process next() {
assert wellFormed() : ""invariant failed at start of next()"";
if(version != myVersion) throw new ConcurrentModificationException(""versions don't match"");
if(!hasNext()) throw new NoSuchElementException(""no element found"");
cursor = cursor.next;
assert wellFormed() : ""invariant failed at end of next()"";
return cursor;
}",next,,Process,cursor,"['wellFormed', 'ConcurrentModificationException', 'hasNext', 'NoSuchElementException']",['cursor'],"['ConcurrentModificationException', 'NoSuchElementException']",MyIterator
"/**The main method.
* @param args the arguments */","public static void main(String[] args) {
if (args.length != 1) {
System.out.println(""Usage: Main <lexicon file>"");
System.exit(1);
}
new Driver(args[0]).run();
}",main,String[] args,void,,"['println', 'exit', 'Driver', 'run']",[],[],Driver
"/**Instantiates a new driver, loading lexicon from file.
* @param name the name of the file */","public Driver(String name) {
lexicon = new Lexicon();
filename = name;
in = new Scanner(System.in);
}",Driver,String name,public,,"['Lexicon', 'Scanner']",[],[],Driver
"/*** Used to report an error found when checking the invariant.
* By providing a string, this will help debugging the class if the invariant should fail.
* @param error string to print to report the exact error found
* @return false always
*/","private boolean report(String error) {
reporter.accept(error);
return false;
}",report,String error,boolean,false,['accept'],['false'],[],Lexicon
"/*** Count all the nodes in this subtree,
* while checking that all the keys are all in the range (lo,hi),
* and that the keys are arranged in BST form.
* If a problem is found, -1 is returned and exactly one problem is reported.
* <p>
* @param n the root of the subtree to check
* @param lo if non-null then all strings in the subtree rooted
* 				at n must be [lexicographically] greater than this parameter
* @param hi if non-null then all strings in the subtree rooted
* 				at n must be [lexicographically] less than this parameter
* @return number of nodes in the subtree, or -1 is there is a problem.
*/","private int checkInRange(Node n, String lo, String hi)
{
if(n == null) return 0;
if(n.string == null) return reportNeg(""n.string is null"");
if(lo != null && n.string.compareTo(lo) <= 0) return reportNeg(""not greater than lo"");
if(hi != null && n.string.compareTo(hi) >= 0) return reportNeg(""not less than hi"");
int leftCount = checkInRange(n.left, lo, n.string);
if(leftCount == -1) return -1;
int rightCount = checkInRange(n.right, n.string, hi);
if(rightCount == -1) return -1;
return 1 + leftCount + rightCount;
/* Check that all strings in the subtree are in the parameter range,
* and none of them are null.
* Report any errors.  If there is an error return a negative number.
* (Write ""return reportNeg(...);"" when detecting a problem.)
* Otherwise return the number of nodes in the subtree.
* Note that the bounds in recursive calls may be different.
*/
}",checkInRange,"Node n, String lo, String hi",int,0,"['reportNeg', 'compareTo']","['leftCount', 'rightCount']",[],Lexicon
"/*** Check the invariant.
* Returns false if any problem is found.
* @return whether invariant is currently true.
* If false is returned then exactly one problem has been reported.
*/","private boolean wellFormed() {
int sizeGuess = checkInRange(root, null, null);
if(sizeGuess == -1) return false;
if(sizeGuess != manyNodes) return report(""manyNodes is wrong"");
return true;
}",wellFormed,,boolean,false,"['checkInRange', 'report']","['sizeGuess', 'false', 'true']",[],Lexicon
"/**Gets the size of this lexicon.
* @return the count of strings in this lexicon
*/","public int size() {
assert wellFormed() : ""invariant false at start of size()"";
return manyNodes;
}",size,,int,manyNodes,['wellFormed'],['manyNodes'],[],Lexicon
"/*** Gets the [lexicographically] least string in the lexicon.
* @return the least string or null if empty
*/","public String getMin() {
assert wellFormed() : ""invariant false at start of getMin()"";
if(root == null) return null;
Node source = root;
while(source.left != null) {
source = source.left;
}
return source.string;
}",getMin,,String,null,['wellFormed'],"['null', 'source']",[],Lexicon
"/*** Checks if the given string is in the lexicon.
* @param str the string to search for (maybe null)
* @return true if str is in the lexicon, false otherwise
*/","public boolean contains(String str) {
assert wellFormed() : ""invariant false at start of contains()"";
if(str == null) return false;
Node source = root;
while(source != null) {
if(source.string.compareTo(str) > 0) source = source.left;
else if(source.string.compareTo(str) < 0) source = source.right;
else return true;
}
return false;
}",contains,String str,boolean,false,"['wellFormed', 'compareTo']","['false', 'source', 'true', 'false']",[],Lexicon
"/*** gets y value
*
* @return current y value
*/","public double y() {
return this.y;
}",y,,double,this.y,[],[],[],Point
"/*** Gets the next [lexicographically] greater string than the given string.
* @param str the string of which to find the next greatest
* @return the next string greater than str
* @throws NullPointerException if str is null
*/","public String getNext(String str) {
assert wellFormed() : ""invariant false at start of getNext()"";
if(str == null) throw new NullPointerException(""str is null"");
Node source = root;
Node before = null;
while(source != null) {
if(str.compareTo(source.string) < 0) {
before = source;
source = source.left;
}else if(str.compareTo(source.string) >= 0) {
source = source.right;
}
}
if(before == null) return null;
return before.string;
}",getNext,String str,String,null,"['wellFormed', 'NullPointerException', 'compareTo']","['source', 'before', 'null']",['NullPointerException'],Lexicon
"/*** Accept into the consumer all strings in this lexicon.
* @param consumer the consumer to accept the strings
* @throws NullPointerException if consumer is null
*/","public void consumeAll(Consumer<String> consumer) {
// We don't assert the invariant, because we do nothing other than
// call another public method.
consumeAllWithPrefix(consumer,"""");
}",consumeAll,Consumer<String> consumer,void,,['consumeAllWithPrefix'],[],[],Lexicon
"/*** Accept into the consumer all strings that start with the given prefix.
* @param consumer the consumer to accept the strings
* @param prefix the prefix to find all strings starting with
* @throws NullPointerException if consumer or prefix is null
*/","public void consumeAllWithPrefix(Consumer<String> consumer, String prefix) {
// TODO: Implement this to call the helper after preliminary checks (if any)
if(prefix == null) throw new NullPointerException(""prefix is null"");
if(consumer == null) throw new NullPointerException(""consumer is null"");
consumeAllHelper(consumer, prefix, root);
}",consumeAllWithPrefix,"Consumer<String> consumer, String prefix",void,,"['checks', 'NullPointerException', 'consumeAllHelper']",[],['NullPointerException'],Lexicon
"/*** Add a new string to the lexicon. If it already exists, do nothing and return false.
* @param str the string to add (must not be null)
* @return true if str was added, false otherwise
* @throws NullPointerException if str is null
*/","public boolean add(String str) {
assert wellFormed() : ""invariant false at start of add()"";
if(str == null) throw new NullPointerException(""str is null"");
int manyNodesBefore = manyNodes;
root = addHelper(root, str);
assert wellFormed() : ""invariant false at end of add()"";
return manyNodesBefore != manyNodes;
}",add,String str,boolean,manyNodesBefore != manyNodes,"['wellFormed', 'NullPointerException', 'addHelper']",['manyNodesBefore'],['NullPointerException'],Lexicon
"/*** Add all strings in the array into this lexicon from the range [lo,hi).
* The elements are added recursively from the middle, so that
* if the array was sorted, the tree will be balanced.
* All the tree mutations are done by add.
* Return number of strings actually added; some might not be added
* if they are duplicates.
* @param array source
* @param lo index lower bound
* @param hi index upper bound
* @return number of strings added
* @throws NullPointerException if array is null
*/","public int addAll(String[] array, int lo, int hi) {
assert wellFormed() : ""invariant false at start of addAll()"";
// TODO: Implement this method (be efficient!)
if(lo == hi) return 0;
int count = 0;
int mid = (hi - lo) / 2 + lo;
if(add(array[mid])) count++;
count += addAll(array, lo, mid);
count += addAll(array, mid + 1, hi);

// NB: As long as you never touch any fields directly (or call private methods)
// you shouldn't *need* to check the invariant. We will anyway.
assert wellFormed() : ""invariant false at end of addAll()"";
return count++;
}",addAll,"String[] array, int lo, int hi",int,0,"['wellFormed', 'method', 'add', 'directly']","['count', 'mid']",[],Lexicon
"/*** Copy all the strings from lexicon (in sorted order) into the array starting
* at the given index.  Return the next index for (later) elements.
* This is a helper method for {@link #toArray(String[])}.
* @param array destination of copy
* @param root the subtree whose elements should be copied
* @param index the index to place the next element
* @return the next spot in the array to use after this subtree is done
*/","private int copyInto(String[] array, Node root, int index) {
if(root == null) return index;
index = copyInto(array, root.left, index);
array[index] = root.string;
index++;
index = copyInto(array, root.right, index);
return index;
}",copyInto,"String[] array, Node root, int index",int,index,[],"['index', 'index']",[],Lexicon
"/*** Return an array of all the strings in this lexicon (in order).
* @param array to use unless null or too small
* @return array copied into
*/","public String[] toArray(String[] array) {
assert wellFormed() : ""invariant false at the start of toArray()"";
if(array == null || array.length < manyNodes) {
String[] array2 = new String[manyNodes];
copyInto(array2, root, 0);
return array2;
}else {
copyInto(array, root, 0);
return array;
}

}",toArray,String[] array,String[],array2,"['wellFormed', 'copyInto']","['array2', 'array2', 'array']",[],Lexicon
"/*** Used to report an error found when checking the invariant.
* By providing a string, this will help debugging the class if the invariant should fail.
* @param error string to print to report the exact error found
* @return false always
*/","private boolean report(String error) {
reporter.accept(error);
return false;
}",report,String error,boolean,false,['accept'],['false'],[],Lexicon
"/*** Count all the nodes in this subtree,
* while checking that all the keys are all in the range (lo,hi),
* and that the keys are arranged in BST form.
* If a problem is found, -1 is returned and exactly one problem is reported.
* <p>
* @param n the root of the subtree to check
* @param lo if non-null then all strings in the subtree rooted
* 				at n must be [lexicographically] greater than this parameter
* @param hi if non-null then all strings in the subtree rooted
* 				at n must be [lexicographically] less than this parameter
* @return number of nodes in the subtree, or -1 is there is a problem.
*/","private int checkInRange(Node n, String lo, String hi)
{
//must account for checking an empty list or leaf's links
if (n == null) return 0;
if (n.string == null) return reportNeg(""null word found"");

//first check node r
if (lo != null && (n.string.equals(lo) || n.string.compareTo(lo) < 0))
return reportNeg(""Detected node outside of low bound: ""+n.string);
if (hi != null && (n.string.equals(hi) || n.string.compareTo(hi) > 0))
return reportNeg(""Detected node outside of high bound: ""+n.string);

//check subtrees
int leftSubtree =  checkInRange(n.left, lo, n.string);
if (leftSubtree < 0) return -1;

int rightSubtree = checkInRange(n.right, n.string, hi);
if (rightSubtree < 0) return -1;

//otherwise return 1 + nodes in subtrees
return 1 + leftSubtree + rightSubtree;
}",checkInRange,"Node n, String lo, String hi",int,0,"['reportNeg', 'equals', 'compareTo']","['leftSubtree', 'rightSubtree']",[],Lexicon
"/*** Check the invariant.
* Returns false if any problem is found.
* @return whether invariant is currently true.
* If false is returned then exactly one problem has been reported.
*/","private boolean wellFormed() {
int n = checkInRange(root, null, null);
if (n < 0) return false; // problem already reported
if (n != numNodes) return report(""numNodes is "" + numNodes + "" but should be "" + n);
return true;
}",wellFormed,,boolean,false,"['checkInRange', 'report']","['n', 'false', 'true']",[],Lexicon
"/*** gets x value to nearest integer
*
* @return x value to nearest integer
*/","public int intX() {
return (int)Math.round(this.x());
}",intX,,int,(int)Math.round(this.x()),"['round', 'x']",[],[],Point
"/*** Gets the [lexicographically] least string in the lexicon.
* @return the least string or null if empty
*/","public String getMin() {
assert wellFormed() : ""invariant false at start of getMin()"";
Iterator<String> it = iterator();
if(it.hasNext()) return it.next();
return null;
}",getMin,,String,it.next(),"['wellFormed', 'iterator', 'hasNext', 'next']","['it', 'null']",[],Lexicon
"/*** Gets the next [lexicographically] greater string than the given string.
* @param str the string of which to find the next greatest
* @return the next string greater than str, or null if no other
* @throws NullPointerException if str is null
*/","public String getNext(String str) {
assert wellFormed() : ""invariant false at start of getNext()"";
// TODO: Implement this method using the special iterator constructor.
// HINT: If you add ""\0"" to the string and look for it with the iterator,
// you are most of the way there.
if(str == null) throw new NullPointerException(""str is null"");
str.concat(""\0"");
Iterator<String> it = iterator(str);
String next = null;
if(it.hasNext()) next = it.next();
if(str.equals(next)) {
if(it.hasNext()) next = it.next();
else next = null;
}
return next;
}",getNext,String str,String,next,"['wellFormed', 'NullPointerException', 'concat', 'iterator', 'hasNext', 'next', 'equals']","['it', 'next', 'next', 'next']",['NullPointerException'],Lexicon
"/*** Accept into the consumer all strings in this lexicon.
* @param consumer the consumer to accept the strings
* @throws NullPointerException if consumer is null
*/","public void consumeAll(Consumer<String> consumer) {
consumeAllWithPrefix(consumer,"""");
}",consumeAll,Consumer<String> consumer,void,,['consumeAllWithPrefix'],[],[],Lexicon
"/*** Accept into the consumer all strings that start with the given prefix.
* @param consumer the consumer to accept the strings
* @param prefix the prefix to find all strings starting with
* @throws NullPointerException if consumer or prefix is null
*/","public void consumeAllWithPrefix(Consumer<String> consumer, String prefix) {
assert wellFormed() : ""invariant false at start of consumeAllWithPrefix()"";
if (consumer == null) throw new NullPointerException(""Can't accept into null consumer"");
if (prefix == null) throw new NullPointerException(""Prefix can't be null"");
// TODO: Implement this method with the special iterator, not with recursion.
Iterator<String> it = iterator(prefix);
boolean done = false;
while(it.hasNext() && !done) {
String next = it.next();
if(next.startsWith(prefix)) consumer.accept(next);
else done = true;
}
}",consumeAllWithPrefix,"Consumer<String> consumer, String prefix",void,,"['wellFormed', 'NullPointerException', 'iterator', 'hasNext', 'next', 'startsWith', 'accept']","['it', 'done', 'next', 'done']",['NullPointerException'],Lexicon
"/*** Add a new string to the lexicon. If it already exists, do nothing and return false.
* @param str the string to add (must not be null)
* @return true if str was added, false otherwise
* @throws NullPointerException if str is null
*/","@Override // implementation
public boolean add(String str) {
assert wellFormed() : ""invariant false at start of add()"";
boolean result = false;
if (str == null) throw new NullPointerException(""Cannot add null."");
Node n = root;
Node lag = null;
while (n != null) {
if (n.string.equals(str)) break;
lag = n;
if (str.compareTo(n.string) > 0) n = n.right;
else n = n.left;
}
if (n == null) {
n = new Node(str);
if (lag == null)
root = n;
else if (str.compareTo(lag.string) > 0)
lag.right = n;
else
lag.left = n;
++numNodes;
result = true;
version++;
}
// XXX: Something is missing from this code that is needed for Homework #9
assert wellFormed() : ""invariant false at end of add()"";
return result;
}",add,String str,boolean,result,"['wellFormed', 'NullPointerException', 'equals', 'compareTo', 'Node']","['result', 'n', 'lag', 'n', 'result']",['NullPointerException'],Lexicon
"/*** Return an iterator that starts at the given element, or the next
* available element from the set.
* @param start starting element (or element before starting element,
* if the start isn't in the set), must not be null
* @return iterator starting ""in the middle"" (never null)
*/","public Iterator<String> iterator(String start) {
return new MyIterator(start);
}",iterator,String start,Iterator<String>,new MyIterator(start),['MyIterator'],[],[],Lexicon
"/*** Start the iterator at this element, or at the first element after it
* (if any).
* @param initial string to start at, must not be null
*/","public MyIterator(String initial) {
// TODO Set up an iterator starting with given (non-null) string.
// NB: Do not attempt to use {@link #getNext} or any other method
// of the main class to help.  All the work needs to be done here
// so that the pending stack is set up correctly.
if(initial == null) throw new NullPointerException(""initial must not be null"");
Node source = root;
while (source != null) {
if(initial.compareTo(source.string) < 0) {
pending.push(source);
source = source.left;
}else if(initial.compareTo(source.string) > 0) {
source = source.right;
}else {
pending.add(source);
break;
}
}
current = null;
colVersion = version;

assert wellFormed() : ""Iterator messed up after special constructor"";
}",MyIterator,String initial,public,,"['given', 'NullPointerException', 'compareTo', 'push', 'add', 'wellFormed']",['source'],['NullPointerException'],MyIterator
"/*** Used to report an error found when checking the invariant.
* By providing a string, this will help debugging the class if the invariant should fail.
* @param error string to print to report the exact error found
* @return false always
*/","private static boolean report(String error) {
reporter.accept(error);
return false;
}",report,String error,boolean,false,['accept'],['false'],[],WordMultiset
"/*** Count all the nodes in this subtree,
* while checking that all the keys are all in the range (lo,hi),
* and that the keys are arranged in BST form,
* and that the node are linked in-order.
* If a problem is found, -1 is returned and exactly one problem is reported.
* <p>
* @param n the root of the subtree to check
* @param lo if non-null then all strings in the subtree rooted
* 				at n must be [lexicographically] greater than this parameter
* @param hi if non-null then all strings in the subtree rooted
* 				at n must be [lexicographically] less than this parameter
* @param first the node that should be first in this tree, or if the tree
*        is empty, then this should be the next node
* @param next the node that should be linked next after this subtree.
* @return number of nodes in the subtree, or -1 is there is a problem.
*/","private int checkInRange(Node n, String lo, String hi, Node first, Node next)
{
if(n == null) {
if(first != next) return reportNeg(""tree out of order"");
return 0;
}
if (n.string == null) return reportNeg(""null word found"");
if (n.count <= 0) return reportNeg(""Count is 0"");
//first check node r
if (lo != null && (n.string.equals(lo) || n.string.compareTo(lo) < 0))
return reportNeg(""Detected node outside of low bound: ""+n.string);
if (hi != null && (n.string.equals(hi) || n.string.compareTo(hi) > 0))
return reportNeg(""Detected node outside of high bound: ""+n.string);

//if(first != null && first.string != null && lo != null && first.string.compareTo(lo) < 0) return reportNeg(""lo and first are wrong"");

//check subtrees
int leftSubtree = checkInRange(n.left, lo, n.string, first, n);
if (leftSubtree < 0) return -1;

int rightSubtree = checkInRange(n.right, n.string, hi, n.next, next);
if (rightSubtree < 0) return -1;

//otherwise return 1 + nodes in subtrees
return 1 + leftSubtree + rightSubtree;
}",checkInRange,"Node n, String lo, String hi, Node first, Node next",int,"reportNeg(""tree out of order"")","['reportNeg', 'equals', 'compareTo']","['leftSubtree', 'rightSubtree']",[],WordMultiset
"/*** Check the invariant.
* Returns false if any problem is found.
* @return whether invariant is currently true.
* If false is returned then exactly one problem has been reported.
*/","private boolean wellFormed() {
if(dummy == null) return report(""dummy is null"");
if(dummy.count != 0) return report(""dummy.count isn't 0"");
if(dummy.left != null) return report(""dummy.left isn't null"");
if(dummy.string != null) return report(""dummy.string isn't null"");
Node min = dummy.right;
while(min != null && min.left != null) min = min.left;
if(dummy.next != min)return report(""dummy.next isn't the min"");
int n = checkInRange(dummy.right, null, null, min, null);
if (n < 0) return false; // problem already reported
if (n != numEntries) return report(""manyNodes is "" + numEntries + "" but should be "" + n);
return true;
}",wellFormed,,boolean,"report(""dummy is null"")","['report', 'checkInRange']","['min', 'n', 'false', 'true']",[],WordMultiset
"/*** gets y value to nearest integer
*
* @return y value to nearest integer
*/","public int intY() {
return (int)Math.round(this.y());
}",intY,,int,(int)Math.round(this.y()),"['round', 'y']",[],[],Point
"/*** Look for the node for a particular key, creating it if requested
* if it doesn't exist.
* @param r subtree to look for the key, may be null
* @param key key to look for for, must not be null
* @param create whether to create a node with count 0 if not in tree
* @param before the node before the first node in this subtree, must not be null
* @return node with this key, or null if it is not present and create is false
*/","private Node getNode(Node r, String key, boolean create, Node before) {
if(r == null) {
if(!create) return null;
Node n = new Node(key);
n.count--;
n.next = before.next;
if(before.right == null) before.right = n;
else {
Node source = before.right;
while (source.left != null) source = source.left;
source.left = n;
}
before.next = n;

return n;
}
int c = key.compareTo(r.string);
if(c < 0) {
return getNode(r.left, key, create, before);
}
else if (c > 0) {
return getNode(r.right, key, create, r);
}else return r;

}",getNode,"Node r, String key, boolean create, Node before",Node,null,"['Node', 'compareTo']","['null', 'n', 'source', 'n', 'c', 'r']",[],WordMultiset
"/*** Find the node with the given key, creating it if necessary
* (but only if ""create"" is true).  If create is true, then
* the data structure invariant will be temporarily false
* due to the node with a zero count.  The caller must address
* the issue immediately.
* @param key word to look for, must not be null
* @param create whether to create a node with count=0 if not present.
* @return node, or null if not present (and create is false)
*/","private Node getNode(String key, boolean create) {
return getNode(dummy.right, key, create, dummy);
}",getNode,"String key, boolean create",Node,"getNode(dummy.right, key, create, dummy)",[],[],[],WordMultiset
"/*** Add a new string to the multiset. If it already exists,
* increase the count for the string and return false.
* Otherwise, set the count to one and return true.
* @param str the string to add (must not be null)
* @return true if str was added, false otherwise
* @throws NullPointerException if str is null
*/","public boolean add(String str) {
assert wellFormed() : ""invariant false at start of add"";
if(str == null) throw new NullPointerException(""String is null"");
boolean result = false;
Node n = getNode(str, true);
if(n.count == 0) {
numEntries++;
version++;
result = true;
}
n.count++;
assert wellFormed() : ""invariant false at end of add"";
return result;
}",add,String str,boolean,result,"['wellFormed', 'NullPointerException', 'getNode']","['result', 'n', 'result']",['NullPointerException'],WordMultiset
"/*** Remove one copy of a word from the multiset.
* If there are multiple copies, then we just adjust the count,
* and the map is unaffected (iterators don't go stale).
* @param str string to remove one of, may be null (but ignored if so)
* @return true if the word was in the multiset.
*/","public boolean removeOne(String str) {
assert wellFormed() : ""invariant false at start of removeOne"";
if(str == null) return false;
dummy.right = doRemove(dummy.right, str, dummy, true, null);
assert wellFormed() : ""invariant false at end of removeOne"";
return lastRemoved != null;
}",removeOne,String str,boolean,false,"['wellFormed', 'doRemove']",['false'],[],WordMultiset
"/**A method to compare two objects.
* This method is superseded by Objects.equals
* @param o1 one object, may be null
* @param o2 another object, may be null
* @return whether they are equal (both null, or usign equals).
*/","private static boolean eq(Object o1, Object o2) {
return (o1 == null ? o2 == null : o1.equals(o2));
}",eq,"Object o1, Object o2",boolean,(o1 == null ? o2 == null : o1.equals(o2)),['equals'],[],[],AbstractEntry
"/*** Hash the key to a table index, following double hashing,
* returning the first index that
* (1) includes an entry with the key, or
* (2) has null, or
* (3) has a placeholder (if phOK is true *and* the key cannot be found).
* This code assumes that double hashing
* will find a valid index.  It may run forever otherwise.
* @param key string to look for, must not be null
* @param phOK whether we return a slot with a placeholder in preference to an empty slot
* @return first index meeting the requirements using double hashing.
*/","private int hash(String key, boolean phOK) {
if(key == null) throw new NullPointerException(""String is null"");
int phIndex = -1;

int hash1 = key.hashCode() % data.length;
if(hash1 < 0) hash1 += data.length;

int hash2 = key.hashCode() % (data.length - 2);
if(hash2 < 0) hash2 += data.length - 2;
hash2 += 1;

if(phOK && data[hash1] == PLACE_HOLDER && phIndex < 0) phIndex = hash1;
while(!(data[hash1] == null || (data[hash1].getKey() != null && data[hash1].getKey().equals(key)))) {
hash1 += hash2;
if(hash1 >= data.length) hash1 -= data.length;

if(phOK && data[hash1] == PLACE_HOLDER && phIndex < 0) phIndex = hash1;
}
if(data[hash1] != null && (data[hash1].getKey() != null && data[hash1].getKey().equals(key))) return hash1;
if(phOK && phIndex >= 0) return phIndex;
return hash1;
}",hash,"String key, boolean phOK",int,hash1,"['NullPointerException', 'hashCode', 'getKey', 'equals']","['phIndex', 'hash1', 'hash2', 'hash1', 'phIndex', 'hash1']",['NullPointerException'],WordMultiset
